business_id,city,state,postal_code,latitude,longitude,stars,review_count,source
4uqRhXZTOzKF2ZhxbWzxfA,newark,pennsylvania,19702,39.6720582582,-75.6489002742,3.5,11,Y
fWMPbickerGWohPy2vDL5A,plainfield,arizona,46168,39.71344115,-86.35794724,3.0,14,Y
DJZQCN0NUej_EtviN4rUlg,philadelphia,pennsylvania,19131,39.978981,-75.27146,3.5,12,Y
Vxqa8u_5RD5e7oBqdaU0yQ,fairview_heights,Illinois,62208,38.596645,-89.9873485,3.5,13,Y
idP674ti6a8yg8z2xFcCgA,newtown_square,arizona,19073,39.9871886,-75.4032012,2.5,24,Y
Vsx34Z-N5S5S0o0f2G6ORw,st._louis,Missouri,63123,38.5120449,-90.3384515,3.0,8,Y
HLwzUJ8IZwP2mLpMMF5x7g,port_richey,louisiana,34668,28.294445,-82.711853,2.5,12,Y
gNs9um_3hB3L8HFyMk2x4w,elmwood,tennessee,70123,29.9611092426,-90.1856499528,3.0,60,Y
JGzrVEBaaVUd2VCsWlf47g,fairless_hills,idaho,19030,40.1851779,-74.8651605472,3.0,33,Y
G4gzTUGV2xAoz6CG9STqfg,franklin,indiana,37067,35.95469913,-86.81443691,3.0,31,Y
LivMZcvWxslI5G9At4K69w,creve_coeur,arizona,63141,38.6787815,-90.462162,3.0,13,Y
CFyOrr--MWtxgjZvaHHV6Q,manchester,pennsylvania,63011,38.593953,-90.5056583,3.0,32,Y
p-pp2F_iClEKk0wybXAaxg,tucson,arizona,85711,32.2201962748,-110.8650453822,3.5,57,Y
n66mhHJpXftCUW9vXqeZwQ,goleta,louisiana,93117,34.42947658,-119.87175968,3.0,126,Y
CUi489qZNqfm2DsqL67BJw,cherry_hill,nevada,08002,39.92628326,-75.03470717,3.5,50,Y
FiIIuZGT-VJEju-bwNQTuA,gretna,indiana,70053,29.921897,-90.039236,3.5,9,Y
9EZ6JKyqirjyE0GGHERmUQ,indianapolis,nevada,46227,39.63794864,-86.12378333,3.5,21,Y
FPpm1z3z3SNEXrywKSnFBQ,reno,new_jersey,89511,39.40375162,-119.74992618,5.0,5,Y
LyQbIKnQN-3Pogi_5ZshNg,brentwood,florida,63144,38.628082642,-90.3413295216,3.0,25,Y
30rM6JGz_4cqjeBJZ93thA,tampa,indiana,33625,28.0637143005,-82.5754135528,3.0,59,Y
Bb7-R7PdhknAWcl4GcLD7A,north_wales,california,19454,40.2281433,-75.2404971166,3.0,17,Y
qDHInkhNalPHQi8rYi9kjA,mt_laurel_township,indiana,08054,39.9430798115,-74.9571235822,2.5,38,Y
qPohxPukFHiTsQ5wFQa0FQ,reno,florida,89509,39.4795684,-119.7940801,3.0,46,Y
buLMYC9EsRiXU2anGU0PRg,meridian,nevada,83646,43.6260062,-116.35162903,3.5,17,Y
6ZdgPekv8DEvwLmh66wJIQ,sparks,delaware,89436,39.5811881345,-119.7406767411,3.0,65,Y
lAx1fYU_FMmpCesbHVK_Zg,warrington,indiana,18976,40.232041,-75.1354302654,3.0,14,Y
xI3h9lvDlmVO9oH2_IAqUg,collegeville,nevada,19426,40.16476701,-75.47885427,2.5,24,Y
LAfBjmgtmIE0FqedMIyy1A,brandon,louisiana,33511,27.9417732,-82.3217625,3.0,62,Y
HvmnXUubTdxHK95SS0QiJg,philadelphia,illinois,19107,39.95201,-75.15772,2.0,9,Y
IV6NVFYNeFEcWp8TEn5cwQ,nashville,florida,37204,36.1096395843,-86.7648176939,3.0,42,Y
3551sOADb1nQr3PFsbqw8A,nashville,nevada,37221,36.0798177,-86.94557816,2.5,11,Y
W0PBojWcYIX0-DxOVKHfCw,avon,pennsylvania,46123,39.760622,-86.3384627527,4.0,8,Y
b9bwm23B7_nOQ0UNW1NGkQ,horsham,pennsylvania,19044,40.158455,-75.143143,3.5,41,Y
EIMdpFSVbzITAn89Ha1eoA,philadelphia,missouri,19114,40.0751943,-75.0321215,2.5,19,Y
iwSHtwr96TyhhnclQZHGEg,hendersonville,tennessee,37075,36.3345379446,-86.6249320749,4.0,17,Y
GUdFcEfoIywh-spJdsyN0g,exton,pennsylvania,19341,40.0359020608,-75.6280970528,2.5,7,Y
HIE4JTORkwfuc_XO2nRVAQ,tucson,louisiana,85705,32.2848363689,-110.97488218,2.5,73,Y
SCWi86ibAr-2_x8Ngd9rGg,smyrna,pennsylvania,37167,35.97928717,-86.56750818,4.0,13,Y
z7N3_ZjkX8eXbutD1fvzJQ,deptford,louisiana,08096,39.8254029,-75.0983218,3.0,15,Y
XpjFyhS47TwCCbtGnINEXw,king_of_prussia,florida,19406,40.0826262088,-75.4049919117,4.0,31,Y
eMsW2f0JgCQ6-D6qJn1kWA,tampa,florida,33607,27.9576485,-82.5081821,2.5,5,Y
PxIrdyTFViCocKbIPN5zQA,fenton,pennsylvania,63026,38.50336629,-90.44727323,3.5,26,Y
YYJEGvjaEapprZnuFpW6tA,wesley_chapel,florida,33544,28.24419084,-82.35245045,3.0,38,Y
ndzDVdevAwhJFdXoc9lPCw,boise,florida,83704,43.6097679,-116.2833796,3.5,29,Y
Z3JrRDH8jtPy2eyH4-Hx8A,tampa,missouri,33618,28.09621669,-82.50410304,3.5,30,Y
ZsFOwyulu9PMDvA4dtBqsw,plymouth_meeting,Pennsylvania,19462,40.10375372,-75.292363,2.0,45,Y
tGaPlSDHzEGHKnJkEdnDEQ,philadelphia,california,19148,39.9234749937,-75.1405619726,3.0,18,Y
yqjA_Sd1c_aYPyaDyz3wbQ,philadelphia,louisiana,19103,39.9500869,-75.1683553,3.0,125,Y
Qf3FVkWVUFpVKwHaB6_iQg,indianapolis,nevada,46240,39.90864369,-86.10738764,3.0,70,Y
hczzraTsDaGJNQV-fnK8hw,clearwater,missouri,33759,27.9591592,-82.72663137,3.5,94,Y
QM6CnjtMLVUyOvIj07XFAw,seminole,nevada,33772,27.8445704,-82.7942125,4.0,27,Y
u_bN8-vC8D7MvkI8RakP4Q,trinity,california,34655,28.20346675,-82.6678158669,3.0,8,Y
E85lTnthikYTCxEsi39PWw,springfield,louisiana,19064,39.91525785,-75.35079627,3.0,58,Y
oJyhIkZY-0BkgtkmK7tRhg,oldsmar,pennsylvania,34677,28.05033429,-82.69949329,4.0,12,Y
TPUFZpI2RWEgJjOmLFtvCA,oro_valley,florida,85737,32.4220718,-110.9382766,3.0,39,Y
RMD5mNJgyQ1FGO_5YDCrzA,wilmington,florida,19803,39.82605188,-75.54303718,2.5,31,Y
DLV4zM60EdyPFafEk88crg,tarpon_springs,Florida,34689,28.1447131,-82.7424819,3.0,14,Y
THOXisAF58kiwXUv0h-w3g,evesham,florida,08053,39.869889113,-74.9212994952,4.0,20,Y
652tRAf14Mu-2kzPKCeMbQ,new_orleans,nevada,70125,29.9407164727,-90.0950057233,3.0,38,Y
TuMQjYCumnFhWJV2ELwwxQ,reno,pennsylvania,89523,39.52978792,-119.8662468,3.5,32,Y
kZJs6j2VrWjNrtx_p2zpiw,tucson,tennessee,85748,32.2052740942,-110.7870014684,3.0,16,Y
