name,reviews_Google,reviews_Yelp
Walgreens,143782,4136
Great Clips,124656,2055
Supercuts,81474,2204
Planet Fitness,60613,887
European Wax Center,41263,3484
Ulta Beauty,29522,2032
Bath & Body Works,29487,346
Hair Cuttery,25067,1114
Cost Cutters,22243,299
Amazing Lash Studio,18501,515
Pro Nails,10153,307
Lovely Nails,10089,374
Top Nails,9710,407
Sun Tan City,8734,415
Nordstrom,8725,381
Happy Nails,8598,373
SEPHORA,8563,421
Star Nails,8539,363
Fancy Nails,8065,360
Magic Nails,6344,504
Hollywood Nails,5899,345
Waxing The City,5277,480
MAC Cosmetics,5132,286
Diamond Nails,4988,373
City Nails,4849,343
Modern Nails,4472,430
